authors,age,field
1,18,eco
1,19,eco
1,20,eco
2,21,eco
5,22,eco
5,23,eco
6,24,eco
7,25,eco
10,26,eco
20,27,eco
35,28,eco
25,29,eco
31,30,eco
28,31,eco
44,32,eco
41,33,eco
38,34,eco
43,35,eco
56,36,eco
50,37,eco
50,38,eco
46,39,eco
55,40,eco
50,41,eco
42,42,eco
39,43,eco
37,44,eco
30,45,eco
37,46,eco
14,47,eco
18,48,eco
11,49,eco
15,50,eco
14,51,eco
8,52,eco
9,53,eco
11,54,eco
9,55,eco
5,56,eco
8,57,eco
5,58,eco
6,59,eco
5,60,eco
2,61,eco
4,62,eco
4,63,eco
5,64,eco
1,65,eco
2,66,eco
2,67,eco
2,68,eco
3,69,eco
1,70,eco
2,71,eco
1,72,eco
1,73,eco
1,75,eco
1,20,edu
1,22,edu
1,23,edu
2,24,edu
2,25,edu
2,26,edu
3,27,edu
6,28,edu
10,29,edu
9,30,edu
16,31,edu
15,32,edu
13,33,edu
11,34,edu
23,35,edu
21,36,edu
19,37,edu
20,38,edu
14,39,edu
15,40,edu
18,41,edu
11,42,edu
6,43,edu
14,44,edu
11,45,edu
9,46,edu
6,47,edu
2,48,edu
3,49,edu
6,50,edu
4,51,edu
1,52,edu
1,53,edu
3,54,edu
2,55,edu
4,57,edu
1,58,edu
1,61,edu
1,65,edu
1,66,edu
1,71,edu
1,19,med
1,20,med
1,21,med
2,22,med
3,23,med
12,24,med
9,25,med
10,26,med
11,27,med
21,28,med
17,29,med
16,30,med
22,31,med
22,32,med
16,33,med
11,34,med
11,35,med
10,36,med
6,37,med
23,38,med
13,39,med
16,40,med
11,41,med
11,42,med
19,43,med
15,44,med
19,45,med
23,46,med
13,47,med
15,48,med
4,49,med
6,50,med
2,51,med
3,52,med
5,53,med
6,54,med
6,55,med
7,56,med
5,57,med
5,58,med
5,59,med
5,60,med
3,61,med
4,62,med
2,63,med
2,64,med
1,65,med
1,66,med
2,67,med
1,68,med
1,71,med
1,73,med
1,19,other
1,20,other
1,21,other
1,22,other
3,23,other
10,24,other
7,25,other
11,26,other
17,27,other
24,28,other
27,29,other
33,30,other
45,31,other
53,32,other
47,33,other
49,34,other
51,35,other
54,36,other
43,37,other
58,38,other
45,39,other
55,40,other
40,41,other
36,42,other
33,43,other
34,44,other
23,45,other
33,46,other
27,47,other
19,48,other
17,49,other
15,50,other
14,51,other
10,52,other
12,53,other
14,54,other
14,55,other
16,56,other
13,57,other
13,58,other
10,59,other
9,60,other
5,61,other
10,62,other
8,63,other
4,64,other
4,65,other
4,66,other
4,67,other
2,68,other
2,70,other
1,71,other
1,72,other
1,76,other
1,77,other
