article,pubyear,jif,field
1,2018,6,edu
3,2011,4,other
76,2017,0,eco
1,2010,5,eco
7,2010,0,edu
5,2013,2,other
5,2008,1,other
81,2013,0,eco
38,2017,2,eco
3,2009,3,edu
7,2014,4,other
3,2010,2,other
3,2012,1,other
2,2014,4,eco
1,2008,1,edu
29,2015,1,other
10,2015,2,eco
8,2015,4,edu
26,2017,2,other
11,2013,0,edu
1,2011,4,edu
14,2014,2,eco
2,2009,1,eco
84,2013,0,other
1,2012,6,other
3,2016,4,other
8,2013,2,edu
15,2018,4,eco
6,2015,4,eco
9,2016,2,edu
1,2018,4,edu
1,2008,4,eco
1,2013,9,other
11,2015,3,other
2,2009,3,eco
3,2011,2,eco
6,2014,4,edu
1,2011,2,edu
10,2017,2,edu
36,2010,0,eco
44,2016,2,other
1,2010,5,edu
52,2010,0,other
6,2018,6,other
2,2016,4,edu
1,2015,8,other
32,2016,2,eco
2,2012,3,eco
3,2013,3,edu
8,2017,4,other
32,2018,3,edu
4,2011,1,other
21,2014,2,other
1,2015,8,edu
1,2017,6,edu
10,2018,1,other
2,2010,2,eco
5,2013,3,eco
36,2014,0,eco
3,2016,4,eco
1,2018,8,eco
14,2009,0,edu
5,2015,4,other
4,2018,1,edu
2,2011,1,eco
5,2014,0,edu
2,2015,1,edu
4,2012,3,edu
29,2016,1,other
2,2009,2,other
2,2012,3,other
21,2018,3,other
28,2015,1,eco
5,2017,4,edu
11,2013,3,other
10,2017,4,eco
18,2018,1,eco
3,2014,2,edu
8,2012,5,edu
1,2012,5,other
1,2013,5,other
3,2017,6,other
3,2008,3,other
44,2009,0,other
56,2014,0,other
2,2010,2,edu
1,2008,3,eco
44,2009,0,eco
1,2016,1,edu
8,2012,0,edu
21,2015,2,other
26,2016,1,eco
8,2018,0,edu
4,2010,1,other
1,2013,6,eco
2,2018,7,other
28,2017,1,other
2,2013,6,edu
9,2014,3,edu
63,2012,0,eco
24,2017,3,edu
1,2014,3,eco
1,2009,2,eco
7,2012,2,other
1,2010,6,edu
1,2013,1,eco
17,2016,3,other
10,2018,5,other
9,2016,3,edu
1,2013,1,other
10,2018,5,eco
6,2016,3,eco
1,2011,3,edu
2,2017,1,edu
1,2012,7,other
2,2008,2,other
77,2012,0,other
121,2018,0,other
1,2015,9,other
5,2010,1,eco
1,2009,4,edu
22,2017,3,other
1,2012,9,other
7,2014,3,other
2,2011,5,other
26,2017,1,eco
4,2008,0,edu
2,2018,5,edu
1,2010,6,other
26,2008,0,eco
57,2015,0,other
8,2015,3,eco
45,2008,0,other
6,2015,3,edu
2,2011,5,edu
1,2014,5,other
3,2011,3,other
2,2016,5,other
17,2018,3,eco
2,2008,2,edu
1,2015,5,eco
13,2015,2,edu
1,2015,5,other
59,2018,0,eco
62,2011,0,eco
9,2011,0,edu
2,2013,9,edu
1,2008,2,eco
81,2016,0,other
16,2017,0,edu
1,2008,4,other
5,2009,1,other
8,2018,4,other
38,2018,2,other
3,2011,2,other
1,2013,4,eco
25,2014,1,eco
1,2017,5,eco
42,2018,2,eco
2,2008,4,edu
10,2016,0,edu
1,2012,4,eco
3,2017,5,other
3,2012,4,other
3,2013,4,other
19,2014,1,other
1,2013,6,other
2,2018,7,eco
2,2009,1,edu
1,2016,5,edu
3,2012,4,edu
3,2013,2,eco
64,2016,0,eco
69,2017,0,other
1,2010,5,other
54,2015,0,eco
5,2015,0,edu
1,2011,5,eco
8,2012,2,eco
2,2012,2,edu
1,2013,4,edu
21,2017,3,eco
1,2017,5,edu
12,2018,2,edu
4,2010,3,other
67,2011,0,other
1,2018,9,other
