article,pubyear,jif,field
1,2018,6,edu
1,2011,4,other
65,2017,0,eco
4,2010,0,edu
4,2013,2,other
4,2008,1,other
55,2013,0,eco
30,2017,2,eco
2,2009,3,edu
6,2014,4,other
2,2010,2,other
1,2012,1,other
2,2014,4,eco
1,2008,1,edu
25,2015,1,other
6,2015,2,eco
3,2015,4,edu
24,2017,2,other
6,2013,0,edu
8,2014,2,eco
66,2013,0,other
3,2016,4,other
6,2013,2,edu
14,2018,4,eco
3,2015,4,eco
4,2016,2,edu
1,2018,4,edu
8,2015,3,other
2,2009,3,eco
3,2011,2,eco
5,2014,4,edu
10,2017,2,edu
26,2010,0,eco
26,2016,2,other
33,2010,0,other
4,2018,6,other
1,2016,4,edu
1,2015,8,other
23,2016,2,eco
2,2012,3,eco
1,2013,3,edu
5,2017,4,other
29,2018,3,edu
2,2011,1,other
12,2014,2,other
1,2015,8,edu
1,2017,6,edu
7,2018,1,other
3,2013,3,eco
26,2014,0,eco
2,2016,4,eco
1,2018,8,eco
5,2009,0,edu
1,2015,4,other
4,2018,1,edu
1,2011,1,eco
4,2014,0,edu
1,2015,1,edu
4,2012,3,edu
26,2016,1,other
2,2009,2,other
2,2012,3,other
16,2018,3,other
21,2015,1,eco
1,2017,4,edu
4,2013,3,other
8,2017,4,eco
13,2018,1,eco
1,2014,2,edu
8,2012,5,edu
1,2012,5,other
3,2017,6,other
2,2008,3,other
24,2009,0,other
49,2014,0,other
1,2010,2,edu
1,2008,3,eco
29,2009,0,eco
1,2016,1,edu
6,2012,0,edu
14,2015,2,other
23,2016,1,eco
7,2018,0,edu
2,2010,1,other
1,2013,6,eco
2,2018,7,other
24,2017,1,other
1,2013,6,edu
3,2014,3,edu
45,2012,0,eco
21,2017,3,edu
1,2014,3,eco
1,2009,2,eco
3,2012,2,other
1,2013,1,eco
10,2016,3,other
7,2018,5,other
6,2016,3,edu
1,2013,1,other
5,2018,5,eco
4,2016,3,eco
1,2011,3,edu
2,2017,1,edu
1,2008,2,other
61,2012,0,other
111,2018,0,other
3,2010,1,eco
16,2017,3,other
3,2014,3,other
23,2017,1,eco
2,2008,0,edu
2,2018,5,edu
19,2008,0,eco
44,2015,0,other
5,2015,3,eco
30,2008,0,other
3,2015,3,edu
1,2014,5,other
2,2011,3,other
1,2016,5,other
12,2018,3,eco
1,2008,2,edu
1,2015,5,eco
8,2015,2,edu
1,2015,5,other
54,2018,0,eco
40,2011,0,eco
6,2011,0,edu
65,2016,0,other
12,2017,0,edu
4,2009,1,other
8,2018,4,other
35,2018,2,other
3,2011,2,other
1,2013,4,eco
20,2014,1,eco
1,2017,5,eco
38,2018,2,eco
1,2008,4,edu
9,2016,0,edu
1,2012,4,eco
3,2017,5,other
1,2012,4,other
2,2013,4,other
12,2014,1,other
2,2018,7,eco
2,2009,1,edu
1,2016,5,edu
2,2012,4,edu
3,2013,2,eco
57,2016,0,eco
66,2017,0,other
47,2015,0,eco
4,2015,0,edu
5,2012,2,eco
1,2012,2,edu
1,2013,4,edu
17,2017,3,eco
10,2018,2,edu
2,2010,3,other
52,2011,0,other
1,2018,9,other
