pubyear,field,avgage
2008,eco,36
2009,eco,38
2010,eco,38
2011,eco,38
2012,eco,38
2013,eco,37
2014,eco,38
2015,eco,38
2016,eco,40
2017,eco,40
2018,eco,40
2008,edu,28
2009,edu,36
2010,edu,37
2011,edu,35
2012,edu,37
2013,edu,37
2014,edu,38
2015,edu,35
2016,edu,38
2017,edu,40
2018,edu,38
2008,med,33
2009,med,37
2010,med,37
2011,med,37
2012,med,37
2013,med,43
2014,med,39
2015,med,40
2016,med,39
2017,med,40
2018,med,39
2008,other,40
2009,other,38
2010,other,37
2011,other,40
2012,other,36
2013,other,37
2014,other,37
2015,other,38
2016,other,39
2017,other,38
2018,other,41
