avgage,pubyear,field,sex
36.8636363636364,2008,eco,1
36.3636363636364,2008,eco,2
32.6666666666667,2008,edu,1
27.75,2008,edu,2
37.6,2008,med,1
32.8571428571429,2008,med,2
43.0625,2008,other,1
35.9655172413793,2008,other,2
39.5,2009,eco,1
39.1111111111111,2009,eco,2
45.8,2009,edu,1
34.2857142857143,2009,edu,2
47.6923076923077,2009,med,1
37.8571428571429,2009,med,2
46.9583333333333,2009,other,1
35.6470588235294,2009,other,2
37.5714285714286,2010,eco,1
32,2010,eco,2
53,2010,edu,1
39.5,2010,edu,2
37.3333333333333,2010,med,1
36.1666666666667,2010,med,2
44.35,2010,other,1
39.6,2010,other,2
38.6111111111111,2011,eco,1
32.625,2011,eco,2
45,2011,edu,1
36.8333333333333,2011,edu,2
34.8888888888889,2011,med,1
44.3333333333333,2011,med,2
29,2011,other,0
40.3333333333333,2011,other,1
42.3,2011,other,2
41.1538461538462,2012,eco,1
30.6875,2012,eco,2
41,2012,edu,1
34.6666666666667,2012,edu,2
37.625,2012,med,1
28.7058823529412,2012,med,2
35.0476190476191,2012,other,1
33.6666666666667,2012,other,2
39.037037037037,2013,eco,1
34.1818181818182,2013,eco,2
35.5,2013,edu,1
39.2142857142857,2013,edu,2
48.6666666666667,2013,med,1
44.25,2013,med,2
41.8666666666667,2013,other,1
37.3846153846154,2013,other,2
38.1052631578947,2014,eco,1
29,2014,eco,2
42.8333333333333,2014,edu,1
37,2014,edu,2
38.9285714285714,2014,med,1
29.7,2014,med,2
41.0740740740741,2014,other,1
30.95,2014,other,2
38.1,2015,eco,1
35.8333333333333,2015,eco,2
37.375,2015,edu,1
32.4444444444444,2015,edu,2
35.9285714285714,2015,med,1
38.1666666666667,2015,med,2
39.45,2015,other,1
37.6923076923077,2015,other,2
37.1081081081081,2016,eco,1
34.1290322580645,2016,eco,2
39.7142857142857,2016,edu,1
34.25,2016,edu,2
31.2666666666667,2016,med,1
36.3,2016,med,2
39.3611111111111,2016,other,1
34.695652173913,2016,other,2
40.5333333333333,2017,eco,1
36.6052631578947,2017,eco,2
43.8181818181818,2017,edu,1
39.7692307692308,2017,edu,2
41.6521739130435,2017,med,1
31.4864864864865,2017,med,2
39.3725490196078,2017,other,1
35.3666666666667,2017,other,2
37.3518518518519,2018,eco,1
36.1428571428571,2018,eco,2
37,2018,edu,1
37.6756756756757,2018,edu,2
42.5238095238095,2018,med,1
34.4035087719298,2018,med,2
38.8260869565217,2018,other,1
35.5384615384615,2018,other,2
