authors,pubyear,field
33,2008,eco
26,2009,eco
23,2010,eco
28,2011,eco
38,2012,eco
39,2013,eco
28,2014,eco
56,2015,eco
72,2016,eco
112,2017,eco
101,2018,eco
6,2008,edu
15,2009,edu
12,2010,edu
10,2011,edu
5,2012,edu
14,2013,edu
16,2014,edu
18,2015,edu
15,2016,edu
28,2017,edu
49,2018,edu
12,2008,med
20,2009,med
13,2010,med
21,2011,med
14,2012,med
18,2013,med
26,2014,med
29,2015,med
19,2016,med
64,2017,med
82,2018,med
67,2008,other
42,2009,other
27,2010,other
40,2011,other
45,2012,other
32,2013,other
46,2014,other
42,2015,other
61,2016,other
79,2017,other
97,2018,other
