article,authorid,field,sex
5,2,eco,1
1,2,edu,1
4,2,other,1
3,4,eco,2
1,4,edu,2
19,5,eco,1
7,5,edu,1
25,5,med,1
17,5,other,1
50,6,eco,1
2,6,med,1
15,6,other,1
10,7,eco,1
6,7,med,1
13,7,other,1
4,8,edu,1
4,8,other,1
5,9,eco,2
1,9,other,2
11,10,eco,1
3,10,other,1
1,11,edu,1
6,11,other,1
2,12,eco,1
1,13,eco,1
4,13,other,1
2,14,eco,1
3,15,med,2
8,15,other,2
1,19,edu,1
5,20,edu,2
2,21,other,1
42,22,eco,1
16,22,edu,1
2,22,med,1
14,22,other,1
47,23,eco,1
1,23,other,1
1,24,eco,1
1,25,eco,1
1,25,edu,1
5,26,eco,2
1,26,other,2
1,27,eco,1
2,28,eco,1
2,29,eco,2
1,29,edu,2
10,30,eco,2
2,31,eco,1
4,32,eco,2
3,32,other,2
1,33,eco,1
1,33,other,1
1,34,other,2
1,35,other,2
7,36,eco,1
4,37,eco,1
3,38,eco,1
4,39,other,1
6,40,eco,1
3,40,other,1
1,41,eco,1
3,41,med,1
5,42,eco,2
3,42,edu,2
11,42,med,2
11,42,other,2
1,43,eco,1
1,44,eco,1
1,45,eco,1
3,46,eco,1
4,47,eco,2
1,47,other,2
2,48,med,1
1,49,other,1
2,50,other,1
9,51,eco,1
6,51,other,1
3,52,eco,1
1,52,other,1
4,53,eco,1
5,54,eco,1
1,54,med,1
4,54,other,1
5,55,eco,1
2,55,other,1
2,56,eco,1
2,57,eco,1
2,58,eco,2
1,59,other,2
1,60,eco,1
5,61,eco,1
1,61,other,1
1,62,eco,2
4,63,eco,1
3,64,eco,1
5,64,other,1
3,65,eco,2
1,65,med,2
6,65,other,2
4,66,eco,1
3,66,other,1
1,67,eco,1
1,67,other,1
6,68,eco,2
1,68,other,2
2,69,eco,1
2,70,other,2
1,71,eco,1
1,72,med,1
7,72,other,1
2,73,other,1
1,74,other,2
2,75,eco,1
1,76,eco,1
1,77,eco,2
4,78,eco,2
2,78,other,2
9,79,eco,1
5,79,other,1
20,80,eco,1
4,80,other,1
28,81,eco,1
1,81,edu,1
1,81,med,1
6,81,other,1
3,82,eco,1
5,83,eco,2
19,84,eco,1
6,84,other,1
3,85,eco,1
1,86,eco,1
1,87,eco,1
3,88,eco,1
1,88,edu,1
1,89,eco,2
1,89,edu,2
1,90,other,1
1,91,other,1
3,92,other,1
2,93,other,1
1,94,eco,1
1,94,other,1
2,95,edu,1
2,96,edu,2
1,97,eco,2
1,97,other,2
1,98,other,2
2,99,other,1
4,100,other,2
3,101,edu,1
3,101,other,1
3,102,edu,2
2,103,other,2
10,104,edu,2
1,105,edu,1
1,106,eco,1
