article,authorid,age,field,sex
1,2,4,eco,1
1,2,4,edu,1
1,2,4,other,1
4,2,6,eco,1
3,2,6,other,1
3,4,2,eco,2
1,4,2,edu,2
1,5,4,eco,1
1,5,4,other,1
14,5,5,eco,1
2,5,5,edu,1
8,5,5,med,1
1,5,5,other,1
4,5,6,eco,1
5,5,6,edu,1
17,5,6,med,1
15,5,6,other,1
8,6,3,eco,1
1,6,3,other,1
23,6,4,eco,1
2,6,4,med,1
5,6,4,other,1
19,6,5,eco,1
9,6,5,other,1
3,7,3,eco,1
3,7,3,other,1
2,7,4,eco,1
1,7,4,med,1
3,7,4,other,1
5,7,5,eco,1
5,7,5,med,1
7,7,5,other,1
4,8,3,edu,1
4,8,3,other,1
2,9,6,eco,2
3,9,7,eco,2
1,9,7,other,2
5,10,5,eco,1
5,10,6,eco,1
3,10,6,other,1
1,10,7,eco,1
1,11,6,edu,1
3,11,6,other,1
3,11,7,other,1
2,12,5,eco,1
1,13,5,eco,1
4,13,5,other,1
1,14,7,eco,1
1,14,8,eco,1
2,15,6,other,2
2,15,7,med,2
4,15,7,other,2
1,15,8,med,2
2,15,8,other,2
1,19,6,edu,1
3,20,4,edu,2
2,20,5,edu,2
1,21,6,other,1
1,21,7,other,1
4,22,5,eco,1
10,22,5,edu,1
7,22,5,other,1
26,22,6,eco,1
6,22,6,edu,1
1,22,6,med,1
5,22,6,other,1
12,22,7,eco,1
1,22,7,med,1
2,22,7,other,1
5,23,3,eco,1
9,23,4,eco,1
1,23,4,other,1
33,23,5,eco,1
1,24,4,eco,1
1,25,3,edu,1
1,25,4,eco,1
3,26,3,eco,2
2,26,4,eco,2
1,26,4,other,2
1,27,4,eco,1
2,28,4,eco,1
1,29,5,eco,2
1,29,6,eco,2
1,29,6,edu,2
3,30,2,eco,2
7,30,3,eco,2
1,31,3,eco,1
1,31,4,eco,1
3,32,4,eco,2
2,32,5,other,2
1,32,6,eco,2
1,32,6,other,2
1,33,4,other,1
1,33,5,eco,1
1,34,3,other,2
1,35,3,other,2
6,36,3,eco,1
1,36,4,eco,1
1,37,6,eco,1
3,37,7,eco,1
1,38,4,eco,1
2,38,5,eco,1
4,39,5,other,1
5,40,3,eco,1
2,40,3,other,1
1,40,4,eco,1
1,40,4,other,1
1,41,6,eco,1
3,41,6,med,1
5,42,1,eco,2
3,42,1,edu,2
11,42,1,med,2
11,42,1,other,2
1,43,3,eco,1
1,44,4,eco,1
1,45,4,eco,1
2,46,7,eco,1
1,46,9,eco,1
2,47,4,eco,2
