pubyear,minage,maxage,avgage,field
2008,21,62,37,eco
2009,19,63,38,eco
2010,26,66,38,eco
2011,23,67,39,eco
2012,22,68,38,eco
2013,25,71,40,eco
2014,23,68,39,eco
2015,24,73,39,eco
2016,18,70,39,eco
2017,21,75,40,eco
2018,20,72,39,eco
2008,26,37,30,edu
2009,22,61,38,edu
2010,29,71,41,edu
2011,29,57,38,edu
2012,30,53,37,edu
2013,28,66,39,edu
2014,27,51,38,edu
2015,24,52,36,edu
2016,25,54,38,edu
2017,27,57,39,edu
2018,20,65,38,edu
2008,24,56,36,med
2009,25,62,41,med
2010,26,63,42,med
2011,27,64,42,med
2012,22,59,38,med
2013,28,60,41,med
2014,23,67,40,med
2015,25,62,40,med
2016,23,66,39,med
2017,19,67,38,med
2018,20,73,37,med
2008,22,67,40,other
2009,24,64,42,other
2010,27,70,42,other
2011,24,77,42,other
2012,25,72,38,other
2013,26,76,40,other
2014,23,68,40,other
2015,25,66,40,other
2016,25,70,40,other
2017,19,71,40,other
2018,20,66,39,other
