article,pubyear,jif,field
26,2008,0,eco
7,2008,0,edu
4,2008,0,med
38,2008,0,other
2,2008,0.192,other
1,2008,0.713,other
1,2008,0.854,other
1,2008,0.917,med
1,2008,0.989,other
1,2008,1.271,eco
1,2008,1.434,other
1,2008,1.473,other
1,2008,1.537,med
1,2008,1.953,med
1,2008,2.341,eco
1,2008,2.341,other
1,2008,2.54,other
1,2008,2.884,other
1,2008,3.298,eco
1,2008,3.298,med
1,2008,3.693,other
1,2008,3.803,med
44,2009,0,eco
14,2009,0,edu
14,2009,0,med
32,2009,0,other
1,2009,0.471,eco
1,2009,0.471,other
1,2009,0.525,med
1,2009,0.525,other
1,2009,0.673,eco
1,2009,0.78,other
1,2009,0.815,other
1,2009,0.957,med
1,2009,0.957,other
1,2009,1.055,other
1,2009,1.505,eco
1,2009,1.531,other
1,2009,2.068,eco
1,2009,2.223,eco
3,2009,2.223,med
1,2009,3.199,med
36,2010,0,eco
22,2010,0,edu
7,2010,0,med
31,2010,0,other
1,2010,0.288,other
1,2010,0.372,eco
1,2010,0.585,eco
1,2010,0.585,other
1,2010,0.593,eco
1,2010,0.596,other
1,2010,0.895,eco
1,2010,0.903,eco
1,2010,0.903,other
1,2010,1.052,eco
1,2010,1.117,eco
1,2010,1.329,other
1,2010,1.721,med
1,2010,1.782,med
1,2010,1.831,other
1,2010,1.957,other
1,2010,2.176,other
1,2010,2.596,other
1,2010,2.614,other
1,2010,2.841,other
1,2010,4.411,med
1,2010,4.694,eco
1,2010,4.918,other
1,2010,5.459,med
1,2010,5.459,other
62,2011,0,eco
24,2011,0,edu
9,2011,0,med
44,2011,0,other
1,2011,0.275,eco
1,2011,0.275,other
1,2011,0.429,other
1,2011,0.71,eco
1,2011,0.71,other
1,2011,0.971,other
1,2011,1.004,other
1,2011,1.083,eco
1,2011,1.083,other
1,2011,1.539,eco
1,2011,1.66,med
1,2011,1.76,eco
1,2011,1.966,other
1,2011,2.173,other
1,2011,2.326,other
1,2011,2.651,med
1,2011,2.696,other
1,2011,3.004,other
1,2011,3.011,med
1,2011,3.114,other
1,2011,3.517,other
1,2011,4.036,eco
1,2011,4.036,other
2,2011,4.641,med
