authors,pubyear,field
6,2015,med
12,2016,edu
15,2009,other
13,2017,med
10,2014,edu
3,2008,med
14,2009,eco
9,2009,edu
30,2016,other
16,2014,eco
3,2010,med
9,2013,edu
12,2018,med
29,2016,eco
41,2018,other
7,2011,edu
52,2018,eco
22,2013,other
3,2011,med
35,2018,edu
2,2013,med
16,2011,eco
15,2011,other
24,2013,eco
3,2008,edu
20,2015,other
6,2009,med
29,2015,eco
9,2010,other
5,2014,med
12,2015,edu
30,2008,other
25,2017,other
2,2016,med
10,2010,edu
17,2008,eco
4,2012,med
25,2012,other
12,2010,eco
16,2012,eco
10,2017,edu
48,2017,eco
6,2012,edu
22,2014,other
