avgage,pubyear,field
36.6969696969697,2008,eco
39.3793103448276,2009,eco
35.7142857142857,2010,eco
36.7692307692308,2011,eco
37.1666666666667,2012,eco
37.6315789473684,2013,eco
35.4074074074074,2014,eco
37.0925925925926,2015,eco
35.75,2016,eco
39.0102040816327,2017,eco
36.876404494382,2018,eco
29.8571428571429,2008,edu
39.0833333333333,2009,edu
47.6,2010,edu
40.1,2011,edu
37.8333333333333,2012,edu
38.3888888888889,2013,edu
39.1875,2014,edu
34.7647058823529,2015,edu
36.8,2016,edu
41.625,2017,edu
37.5434782608696,2018,edu
35.6470588235294,2008,med
44.25,2009,med
36.5555555555556,2010,med
39.6111111111111,2011,med
31.56,2012,med
46.1428571428571,2013,med
35.0833333333333,2014,med
36.6,2015,med
33.28,2016,med
37.1204819277108,2017,med
37.8484848484849,2018,med
40.3896103896104,2008,other
42.2682926829268,2009,other
43.4,2010,other
41,2011,other
34.3111111111111,2012,other
39.7857142857143,2013,other
36.7659574468085,2014,other
38.7575757575758,2015,other
37.5423728813559,2016,other
37.8888888888889,2017,other
37.3176470588235,2018,other
