authors,pubyear,sex,field
16,2013,2,other
44,2008,1,other
16,2015,1,med
47,2017,2,eco
3,2010,1,med
21,2012,1,other
7,2010,2,other
3,2008,1,edu
28,2015,1,other
33,2017,1,med
9,2013,2,med
25,2015,2,eco
23,2012,1,eco
33,2017,2,other
8,2014,2,eco
18,2009,1,eco
10,2013,2,edu
8,2016,2,edu
2,2012,1,edu
9,2011,2,eco
6,2008,2,med
6,2011,2,edu
16,2017,2,edu
10,2011,1,med
23,2016,2,other
40,2018,1,med
35,2016,2,eco
21,2011,1,other
17,2014,2,other
49,2018,1,other
15,2014,1,med
10,2010,2,eco
12,2018,1,edu
19,2011,1,eco
9,2015,1,edu
9,2012,2,med
38,2016,1,other
16,2009,2,other
31,2015,1,eco
23,2008,1,eco
58,2018,1,eco
10,2014,2,edu
4,2011,1,edu
10,2009,2,med
7,2016,1,med
4,2010,2,edu
7,2016,1,edu
37,2016,1,eco
14,2015,2,other
20,2010,1,other
9,2013,1,med
31,2017,2,med
46,2017,1,other
8,2009,2,eco
24,2012,2,other
28,2013,1,eco
13,2015,2,med
16,2013,1,other
12,2017,1,edu
6,2008,1,med
8,2010,1,edu
23,2008,2,other
11,2011,2,med
42,2018,2,med
13,2010,1,eco
12,2016,2,med
65,2017,1,eco
4,2013,1,edu
10,2010,2,med
7,2009,2,edu
3,2008,2,edu
9,2015,2,edu
10,2008,2,eco
5,2012,1,med
26,2009,1,other
48,2018,2,other
19,2011,2,other
20,2014,1,eco
43,2018,2,eco
11,2014,2,med
10,2009,1,med
29,2014,1,other
8,2009,1,edu
11,2013,2,eco
15,2012,2,eco
6,2014,1,edu
3,2012,2,edu
37,2018,2,edu
