ViewCount,CtryCode,PostId,ViewDate
1,IE,3141,5/11/18
1,US,4276,6/14/19
1,VN,4156,8/8/19
1,RU,1074,5/15/18
4,FR,4276,9/17/18
1,AT,4304,9/22/18
1,US,4227,8/7/18
3,US,4214,8/7/19
1,FR,1081,7/1/19
1,US,2134,8/21/19
1,US,4276,8/30/19
1,RU,4227,8/3/18
1,RU,4276,10/7/18
1,RU,1108,7/12/18
5,VN,4221,10/4/18
1,US,1074,1/20/19
6,CA,4326,10/19/18
1,US,2135,6/23/19
1,RU,1073,9/1/19
1,US,4214,2/19/19
1,FR,2118,6/16/19
1,UA,2135,8/31/19
3,CZ,1073,4/14/18
1,CA,1038,4/2/18
1,US,2134,7/2/18
1,AU,1080,4/30/18
1,CA,2135,7/10/19
1,VN,2135,7/7/19
1,SG,1073,4/15/18
1,FR,1074,6/14/19
1,VN,2134,9/14/18
7,VN,1024,4/8/18
1,TW,1108,3/28/19
1,US,1080,11/5/18
1,FR,4174,2/13/19
1,BR,2118,4/30/18
10,VN,1108,6/11/18
11,RU,2135,7/31/18
7,UA,2135,12/28/18
1,CN,4227,1/25/19
1,DE,1024,1/30/19
3,US,2135,4/7/19
1,US,1108,7/16/18
3,AU,2124,5/2/18
1,NL,2135,7/14/19
1,IT,1080,4/16/18
1,PL,2121,5/2/18
1,VN,4214,9/17/18
1,BY,2135,12/20/18
4,VN,1041,8/28/19
16,FI,1073,4/11/18
1,FR,2124,11/15/18
7,VN,4276,10/10/18
1,US,3139,2/11/19
4,US,4326,9/5/19
4,US,1041,7/28/19
1,VN,4156,6/19/18
1,US,4156,7/24/18
1,US,2121,9/16/18
1,FR,2135,12/27/18
1,VN,1073,8/18/19
2,US,3139,7/30/19
1,FR,4156,5/27/18
2,KR,1108,10/26/18
1,SG,2135,4/23/19
1,FR,4304,7/17/19
2,VN,4276,3/28/19
1,SE,4276,8/26/19
1,NZ,1108,4/28/18
1,FR,3139,4/20/19
2,VN,1080,9/4/19
2,IE,1074,4/13/18
1,VN,1041,7/9/18
1,GB,4214,11/21/18
2,US,1038,2/17/19
2,VN,1074,5/18/18
2,US,3139,12/30/18
3,US,1108,9/4/19
1,MX,4156,5/22/18
1,VN,3139,7/11/18
1,US,2124,2/24/19
32,RU,2135,4/20/19
1,KE,2135,5/9/18
4,VN,1041,4/24/19
2,RU,4221,7/1/18
1,RU,1041,5/8/19
1,RU,4227,2/5/19
2,US,2118,12/10/18
1,VN,1073,7/16/18
2,US,1080,7/2/18
2,RU,2135,9/3/18
2,VN,1108,4/2/19
1,CN,2135,10/5/18
1,RU,4214,8/13/18
1,RU,1038,10/16/18
3,US,1108,5/1/19
1,NZ,5507,8/10/19
1,RU,1080,6/17/18
1,US,4221,3/8/19
2,US,3139,6/17/19
1,FR,1108,7/8/19
4,US,4214,8/17/18
1,GB,2135,1/24/19
2,VN,1038,5/2/19
1,VN,1038,10/2/18
6,KR,1108,5/10/18
2,UA,2135,5/3/19
1,US,2124,12/26/18
1,RU,1081,7/31/18
1,MD,2135,10/24/18
1,FR,1081,3/3/19
3,VN,2134,5/28/18
3,VN,2135,1/2/19
1,FR,1041,8/15/18
1,BR,1108,1/23/19
3,MD,2135,3/16/19
5,UA,2135,9/10/18
2,US,1080,5/10/19
1,US,4156,10/9/18
1,RU,1038,6/12/18
1,RU,4326,11/16/18
1,VN,2118,7/2/18
1,VN,1081,5/1/18
1,LU,1108,5/12/18
1,VN,2135,3/20/19
2,US,1073,12/1/18
23,VN,3141,5/14/18
2,RU,2135,4/3/19
2,US,2120,9/9/18
27,JP,4174,6/2/18
24,US,4304,9/23/18
1,NZ,3139,5/22/18
1,FR,1108,3/27/19
4,AU,1073,4/13/18
2,US,1080,2/22/19
2,,2135,5/7/19
3,US,1041,10/12/18
1,FR,4221,2/1/19
2,US,2118,7/10/19
1,FR,2124,8/31/19
1,RU,1024,5/9/18
2,US,1041,1/23/19
1,BY,1024,3/26/18
1,TH,4276,10/20/18
1,DE,2134,4/22/19
4,VN,1108,7/14/19
1,NL,2135,1/9/19
5,RU,3141,5/11/18
4,VN,1108,12/14/18
1,AP,4156,5/23/18
6,US,1073,8/20/18
1,RU,4326,3/5/19
1,US,1081,4/7/19
1,FR,4276,7/3/19
2,VN,1073,2/13/19
1,HK,2134,5/11/18
1,US,3139,8/9/18
1,BY,2135,11/24/18
1,PL,2135,12/8/18
3,US,1108,4/14/19
1,FR,2134,5/22/18
9,US,4174,6/4/18
1,RU,2120,9/11/18
1,US,1108,10/27/18
1,RU,2134,2/18/19
1,VN,4214,8/5/18
9,VN,1108,3/27/19
10,US,1108,5/11/18
2,MD,2135,7/7/18
1,US,1073,1/13/19
523,VN,2121,5/1/18
1,RU,4214,4/22/19
1,SG,1074,5/29/18
2,VN,2135,12/7/18
14,RU,2135,12/21/18
1,US,1074,5/3/19
1,JP,2118,7/18/18
1,RU,2134,9/2/18
1,TH,1073,4/14/18
1,CN,4276,4/11/19
1,FR,2118,7/29/19
24,RU,2135,8/24/19
1,AO,4156,5/23/18
7,VN,4174,6/9/18
1,JP,2120,7/19/19
1,VN,1041,4/7/19
1,RU,2120,6/20/18
1,FR,2135,4/26/19
1,FR,3141,6/20/18
1,RU,4276,9/11/18
1,US,4214,4/26/19
1,CN,1080,7/10/18
2,VN,2121,9/24/18
1,US,3139,4/18/19
2,AR,2135,3/10/19
2,US,4221,5/13/19
1,RU,1038,11/2/18
1,RU,2120,5/15/19
1,VN,2135,5/25/19
1,US,4214,6/2/19
1,RU,2124,8/25/19
1,EE,4227,7/7/18
1,US,2121,12/28/18
2,RO,2135,7/15/18
1,US,4174,10/8/18
1,US,1041,5/29/19
3,BR,2135,9/2/19
1,ES,1080,4/17/18
1,VN,2118,8/20/18
1,US,3139,12/13/18
1,PH,4214,6/28/18
1,US,2121,11/15/18
1,US,3139,5/31/19
3,US,1041,12/11/18
1,VN,3139,5/13/19
5,VN,1074,5/1/18
5,TH,4174,6/2/18
1,FR,3141,10/24/18
1,US,4221,1/7/19
1,RU,1041,5/25/19
1,FR,1041,9/1/18
1,FR,2124,1/14/19
1,RU,1074,7/31/18
1,VN,1038,9/15/18
1,VN,1038,5/19/19
3,US,4221,6/25/19
2,DE,1073,7/8/19
2,US,2120,1/13/19
5,AU,1074,4/14/18
1,RU,2118,6/3/18
1,US,2118,6/7/18
1,US,3141,7/21/19
1,US,4304,11/22/18
1,VN,4227,7/20/18
1,VN,4174,8/24/19
14,US,4214,9/3/18
3,VN,3139,9/9/18
1,US,2118,11/23/18
1,NZ,4156,7/5/18
1,VN,4276,3/11/19
1,RU,4156,7/3/18
1,RU,1041,3/9/19
1,UA,2135,3/15/19
5,US,1073,4/16/18
1,US,1108,5/18/19
2,US,2124,4/25/19
1,EU,2134,5/8/18
1,DK,4174,6/2/18
1,TR,2135,8/19/18
3,US,1080,6/22/19
3,JP,1038,4/9/18
2,US,3141,6/1/18
1,FR,2135,8/30/19
2,US,2135,8/21/18
1,US,1024,8/31/19
1,RU,2135,8/17/18
1,BD,4156,1/22/19
3,UA,2135,7/12/18
1,VN,4221,8/5/18
2,VN,1108,11/27/18
4,VN,1108,2/12/19
2,US,2118,2/8/19
2,RU,2124,8/18/18
4,US,1080,8/20/18
1,VN,1080,3/19/19
1,LU,2135,8/23/19
1,US,4227,10/6/18
1,FR,4276,11/16/18
1,KR,2135,3/31/19
6,US,1038,9/1/18
1,RU,4276,10/24/18
1,SE,3139,5/11/18
3,VN,2135,1/19/19
1,DE,2121,8/3/18
1,PH,2134,5/13/18
160,VN,2118,5/3/18
1,US,4221,7/12/19
9,VN,1108,7/31/19
1,MD,2135,5/15/19
1,RU,2134,6/1/19
1,TW,1108,10/10/18
1,RU,1080,10/15/18
1,RU,1108,5/13/18
4,VN,1080,6/3/18
1,FR,4156,12/16/18
1,FR,1108,8/4/18
1,US,1024,9/10/18
1,FR,4174,1/1/19
1,US,2134,2/16/19
1,SK,2135,10/10/18
1,US,4174,4/12/19
1,RU,2118,5/24/19
1,VN,1024,8/12/18
4,US,4227,8/24/18
1,AU,4174,6/1/18
2,US,2135,12/19/18
1,FR,2121,11/23/18
1,RU,1074,7/21/19
2,RU,2124,7/6/18
1,PL,2135,4/13/19
