ViewCount,ViewDate
256,7/16/18
372,12/15/18
367,10/1/18
572,5/4/19
1971,4/15/18
603,7/3/19
556,6/29/18
248,1/15/19
455,9/1/19
459,1/18/19
328,8/28/18
228,5/28/18
776,6/16/19
694,4/1/18
290,2/1/19
616,1/1/19
146,9/14/18
363,10/27/18
457,5/21/19
660,9/7/19
288,8/11/18
428,2/27/19
497,3/16/19
528,11/10/18
374,7/10/18
354,12/29/18
520,10/10/18
659,7/20/19
539,8/21/19
431,6/23/18
484,4/17/19
464,4/7/18
633,1/24/19
543,10/24/18
615,4/11/19
135,12/23/18
218,6/6/18
1723,9/23/18
463,7/26/19
755,7/9/19
381,5/24/19
281,4/24/18
225,2/10/19
353,9/20/18
337,6/20/18
611,4/28/19
142,5/20/18
718,10/7/18
419,6/7/19
2259,5/11/18
288,11/19/18
305,5/7/19
539,5/30/19
467,8/15/19
1518,6/3/18
242,2/4/19
350,8/19/18
383,2/21/19
255,8/2/18
280,11/2/18
403,3/8/19
234,12/6/18
620,7/29/19
477,3/29/18
424,8/12/19
393,3/25/19
453,8/29/19
512,4/25/19
803,3/30/18
242,6/15/18
245,9/15/18
362,10/16/18
535,7/4/19
481,8/4/19
427,1/16/19
757,7/18/19
418,4/3/19
1009,5/29/18
302,12/30/18
257,2/2/19
608,11/17/18
706,4/16/18
637,4/20/19
266,6/12/18
605,7/1/19
1058,5/3/18
476,9/29/18
578,8/7/19
353,1/27/19
465,5/22/19
225,5/26/18
444,3/14/19
27,8/26/18
676,9/12/18
322,7/25/18
559,10/25/18
526,3/31/19
603,7/21/19
366,2/28/19
143,11/28/18
361,3/17/19
546,11/11/18
8,3/21/18
140,12/24/18
502,7/27/19
753,7/8/18
555,4/26/19
443,10/8/18
381,1/7/19
928,6/25/19
158,6/21/18
282,12/7/18
1934,5/9/18
423,4/12/19
492,5/13/19
490,1/10/19
413,6/8/19
678,8/20/18
608,9/6/18
553,4/25/18
461,6/4/18
960,8/30/19
329,2/19/19
207,12/4/18
658,9/3/18
614,5/12/18
732,6/14/19
420,3/23/19
317,8/3/18
289,10/2/18
430,8/13/19
964,7/2/18
561,4/9/19
705,7/12/19
454,12/21/18
575,7/17/18
579,12/16/18
825,7/19/19
420,3/18/19
733,4/14/18
486,4/18/19
335,9/30/18
392,6/30/18
330,10/17/18
2193,5/1/18
561,6/17/19
221,11/29/18
758,5/5/19
428,2/17/19
335,6/13/18
918,5/31/19
1117,4/17/18
254,5/27/18
271,8/29/18
690,8/22/19
1189,5/4/18
304,11/12/18
150,8/12/18
327,6/6/19
213,11/26/18
361,3/15/19
297,7/26/18
421,2/11/19
550,5/20/19
249,12/13/18
490,4/1/19
259,8/9/18
327,7/9/18
504,8/5/19
390,1/8/19
550,6/26/19
391,10/23/18
391,3/26/19
191,6/7/18
7,3/22/18
523,7/10/19
732,11/9/18
778,4/8/18
833,5/21/18
726,4/27/19
606,6/9/19
1795,5/10/18
482,9/8/19
482,2/26/19
570,6/23/19
428,5/14/19
2106,9/21/18
414,1/25/19
512,8/21/18
433,5/18/18
440,3/6/19
516,8/31/19
393,2/20/19
828,9/4/18
284,2/3/19
404,7/13/19
350,12/22/18
446,8/18/18
410,11/20/18
707,11/3/18
314,8/1/18
505,3/9/19
374,4/2/19
234,12/31/18
