ViewCount,Referer,PostId
31,1,1024
5,2,1024
11,3,1024
1,4,1024
5212,5,1024
24,1,1038
7,2,1038
19,3,1038
1006,5,1038
43,1,1041
7,2,1041
34,3,1041
835,5,1041
3739,1,1073
7,2,1073
100,3,1073
1,4,1073
73,5,1073
1259,1,1074
9,2,1074
91,3,1074
34,5,1074
1747,1,1080
9,2,1080
46,3,1080
1,4,1080
34,5,1080
838,1,1081
2,2,1081
32,3,1081
1,4,1081
27,5,1081
6249,1,1108
15,2,1108
88,3,1108
7,4,1108
95,5,1108
5005,1,2118
10,2,2118
100,3,2118
3,4,2118
66,5,2118
2527,1,2120
7,2,2120
93,3,2120
1,4,2120
10,5,2120
2203,1,2121
4,2,2121
39,3,2121
1,4,2121
36,5,2121
1283,1,2124
6,2,2124
47,3,2124
1,4,2124
25,5,2124
7514,1,2134
8,2,2134
59,3,2134
7,4,2134
92,5,2134
665,1,2135
8,2,2135
51,3,2135
7,4,2135
21,5,2135
871,1,3139
10,2,3139
24,3,3139
2,4,3139
37,5,3139
2069,1,3141
11,2,3141
42,3,3141
1,4,3141
46,5,3141
3218,1,4156
7,2,4156
22,3,4156
73,5,4156
1978,1,4174
7,2,4174
23,3,4174
1,4,4174
22,5,4174
2467,1,4214
12,2,4214
35,3,4214
1,4,4214
74,5,4214
1515,1,4221
8,2,4221
14,3,4221
47,5,4221
1560,1,4227
14,2,4227
30,3,4227
1,4,4227
72,5,4227
415,1,4276
8,2,4276
26,3,4276
3,4,4276
42,5,4276
3399,1,4304
10,2,4304
40,3,4304
85,5,4304
2690,1,4326
3,2,4326
14,3,4326
46,5,4326
599,1,5507
263,2,5507
78,3,5507
1,4,5507
183,5,5507
