Query,Clicks,Impressions,CTR,Position
sshpa,52,140,37.14%,1.1
2001 a space odyssey giải thích,36,201,17.91%,4.47
web of science là gì,27,144,18.75%,3.52
scopus là gì,19,921,2.06%,8.11
danh mục tạp chí isi có uy tín nafosted,17,148,11.49%,5.66
the big short,11,632,1.74%,13.21
tra cứu tạp chí scopus,10,154,6.49%,6.84
ví dụ về csr ở việt nam,10,151,6.62%,5.91
thầy phạm quang hưng mất,10,48,20.83%,6.98
corresponding author là gì,9,416,2.16%,8.08
2001 a space odyssey,8,207,3.86%,11.31
the big short review,8,62,12.9%,4.85
danh sách tạp chí isi nafosted,8,52,15.38%,6.65
scopus,7,1201,0.58%,10.27
tạp chí scopus,7,197,3.55%,7.88
sách chuyên khảo là gì,7,143,4.9%,10.34
emerging sources citation index là gì,7,62,11.29%,5.32
hoàng thất nhật bản,6,179,3.35%,9.77
arxiv là gì,6,120,5%,4.93
gây quỹ cộng đồng,6,118,5.08%,8.38
kiểm tra tạp chí scopus,6,106,5.66%,6
conference proceedings là gì,6,83,7.23%,8.88
tạp chí scopus việt nam,5,110,4.55%,8.93
mdpi là gì,5,42,11.9%,9.45
cách xem chỉ số impact factor,5,30,16.67%,11.5
2001: a space odyssey,4,288,1.39%,10.38
thắng thua không quan trọng,4,209,1.91%,7
"masahito, hoàng tử hitachi",4,177,2.26%,1.65
orcid la gi,4,129,3.1%,6.68
phim the big short,4,99,4.04%,13.49
netnography là gì,4,58,6.9%,2.57
sjr là gì,4,26,15.38%,4.5
ssrn là gì,4,25,16%,3.24
giải thích phim the big short,4,23,17.39%,4.26
the big short sách,4,23,17.39%,6.57
orcid id là gì,4,18,22.22%,6.06
thầy phạm quang hưng qua đời,4,14,28.57%,4.57
hoàng gia nhật bản,3,129,2.33%,24.42
cuộc sống hoàng gia nhật bản,3,78,3.85%,21.59
nhà xuất bản springer,3,77,3.9%,8.18
impact factor là gì,3,47,6.38%,9.34
phim 2001 a space odyssey,3,41,7.32%,14.29
bảng xếp hạng đại học thế giới 2019,3,25,12%,9.48
các đề tài nghiên cứu khoa học về xe buýt,3,7,42.86%,17.86
bóng đá dữ liệu,2,409,0.49%,9.89
bayesian là gì,2,124,1.61%,7.83
danh sách đề tài nafosted 2018,2,59,3.39%,7.05
phim a space odyssey,2,56,3.57%,13.34
nafosted 2019,2,55,3.64%,8.22
ví dụ về trách nhiệm xã hội của doanh nghiệp,2,54,3.7%,10
michael burry là ai,2,46,4.35%,10.85
hoàng tộc nhật bản,2,45,4.44%,11.84
scimago là gì,2,39,5.13%,10.36
bất bình đẳng thu nhập,2,19,10.53%,17.37
tâm lý học xã hội,2,16,12.5%,28.81
trầm cảm,2,16,12.5%,61
kinh nghiệm trả lời phản biện,2,11,18.18%,22.73
thắng hay thua không quan trọng,2,10,20%,8.8
bài phản biện đề tài nghiên cứu khoa học,2,10,20%,67.3
xác suất bayes,2,7,28.57%,30.29
yoshiki sasai,2,5,40%,6.8
scicomm,2,5,40%,9.2
jcr 2019,2,3,66.67%,8.33
