ViewCount,CtryCode,PostId
1,TZ,2134
3,ES,1108
2,AE,4227
11,NO,4214
3,HK,1073
7,AT,1080
2992,VN,1073
2,EU,4156
3,CN,4214
1,CZ,2124
88,RU,3139
3,MY,1074
776,VN,2135
47,DE,4174
2,ZA,1024
104,RU,1038
1,BY,2118
28,AU,1041
1,MN,3139
74,SG,2135
1,LA,1024
4,CH,1074
66,DE,4214
3,UA,2118
1,PL,5507
24,NZ,1074
1,BR,1024
1,KE,2135
3,HK,4156
7,,1074
11,NZ,1080
4,IN,4276
39,SG,1073
9,,4214
1,KY,4221
184,PL,2135
79,AU,4221
2,IE,4221
20,FI,2120
1,TR,1108
1,KH,4214
1,NP,2134
1,AT,3141
12,BE,4174
18,NZ,4326
4,ID,1074
6,FI,4221
12,IE,2134
134,AU,4304
1,AZ,2135
1,RO,4227
4,SE,2134
11,BE,4214
4,HK,2135
2,IN,1073
6,PL,1073
4,KH,1108
2,EE,1108
1,KH,4174
8,AU,1038
57,RU,4304
5,PL,4156
1,TN,1041
1,HT,4174
1,MU,3141
6,NO,4174
48,TH,1024
3894,VN,2118
1,AE,4304
1,TR,1074
11,KR,3139
4,SE,2120
54,KR,1081
4,AT,4174
73,DE,1080
2,ES,4156
28,SG,2121
17,NZ,1108
3,MM,4156
1,DK,3139
13,IE,1024
66,RU,1081
3,,4326
4,CH,1108
3,AE,4221
43,TW,4214
1,TH,5507
2,AE,1041
2,BR,4221
12,GB,4326
1,TZ,1038
6,NO,2124
23,KR,4304
2,HU,1041
111,TW,1108
1,CZ,4156
1,GR,4276
1,HT,1080
33,TW,4174
1,RO,1073
8,SE,4221
50,SG,2118
1464,VN,2121
47,DE,3141
63,KR,1041
1,PT,4276
1,KH,4326
52,CN,1108
4,BE,2124
3,EU,1073
2,RO,4156
1,MV,1108
2,PA,2135
203,FR,1074
3,PH,4221
14,IT,1074
152,JP,2120
1,KH,3141
2,IE,4227
4,DK,2120
2,ZA,2118
118,RU,1041
4,PH,2134
8,HK,1108
1,HT,3141
18,TH,4276
5,NL,4227
1,LU,4214
15,NL,1024
10,IN,2135
1,EU,4276
2,HU,4304
1,HU,1038
109,JP,3139
44,RO,2135
5,SK,2135
8,LT,2135
53,FR,4326
1,EE,4156
4,KR,1038
1,QA,2134
10,BE,2121
6,AT,4214
213,AU,2134
2,PK,4304
10,NO,1108
43,FI,2134
1,ID,4326
105,RU,4227
1,IN,4156
1,IM,1108
1,EU,2135
5,HK,1074
14,AU,5507
1,IQ,4214
1217,US,1108
1,KE,4214
29,GB,1081
1,IS,4276
11,PH,1024
11642,RU,2135
14,GB,1041
113,RU,1073
3,IN,1108
1,PT,2118
4,DK,1081
4,AT,2134
1,IT,3141
232,JP,1024
1,BY,1074
29,NZ,2134
3,ES,4326
2,PR,1108
2,RO,2124
132,FR,2120
13,SE,1024
13,PL,1108
1,PH,2120
23,TW,4227
2,MX,2134
85,FR,3139
1,AE,2121
1,SA,1080
192,AU,2118
2,ID,2134
110,FR,1081
1,MN,2135
87,TW,1024
1,LU,1073
3,RO,2121
1,FJ,1073
13,SG,2124
16,RU,5507
1,UA,4221
603,VN,2124
52,KR,4227
4,IT,1080
3,DK,1041
2,MM,1108
10,LU,2135
1,EU,4214
2,CZ,3141
644,US,1074
4,CZ,1080
27,CA,4227
18,FI,2118
1,NG,1024
204,AU,1024
1,LU,4156
15,CA,1041
3,HU,5507
9,BE,3141
5,IE,2121
1,RO,4214
1,SI,1024
1,MZ,4156
55,DE,4304
1625,VN,4214
34,CA,4304
1,HT,2134
1335,VN,4174
11,DK,1073
1,DK,4276
2,PK,2135
11,PH,4276
2,BR,2121
3,CZ,4174
2,SE,4276
1,CO,1074
62,TW,2118
3,ES,1074
74,RU,2121
197,KR,1073
4,NL,2124
47,GB,4304
28,FI,1024
1,ZA,4221
12,BE,1080
1,LA,2120
3,KR,5507
125,KR,4156
3,HU,2118
23,SG,4174
3,TR,4156
1,ID,4221
12,IE,2118
6,TW,5507
11,CA,1038
43,TW,4156
13,HK,4326
1,EE,4214
11,DK,2135
5,HU,1073
16,IT,2134
1,JM,2135
7,HK,2118
7,NO,1074
11,TH,1041
115,RU,2134
16,IT,1108
1,IL,3141
98,NL,2135
2,LU,1108
7,FI,1041
1,LA,4227
106,KR,2134
1543,VN,4276
13,FI,4304
6,SC,2135
2,UA,5507
4,MY,4214
6,TH,1081
128,FR,3141
63,RU,4221
22,CN,1074
1,BY,4156
15,NL,4156
20,BE,1074
79,GB,2134
7,SG,4276
113,RU,2120
3,AE,1024
8,CZ,1108
1,PT,2120
2,MM,1024
1,AT,1074
1,IN,1024
1,BD,4276
14,DK,2134
20,IE,4304
20,NL,1073
1,ES,2124
9,TH,4227
1,RO,1024
1,LR,2135
34,AU,3139
4,NZ,4174
1069,VN,5507
2,LV,4227
1,HT,1108
71,AU,1081
1,CM,3141
3,EU,2118
6,FI,3139
876,UA,2135
4,PL,2118
1,FI,1038
3,FI,1081
4,CH,4174
1,ID,4214
113,DE,1074
1,TR,2124
1,NL,5507
27,TW,2121
171,AU,2120
15,TW,2124
4,,4174
5,IE,3139
4,MY,4174
1,OM,2118
84,CA,2134
2,IE,2120
113,FR,1080
1,BY,2121
1,CL,1024
1,KG,4214
8,NL,4276
1,MN,4304
9,FI,4227
2,RO,2118
17,LV,2135
1,KW,2134
1,MN,1041
1,SE,1038
53,KR,4221
1,MN,4227
3,GR,2135
100,JP,4304
2,HT,1074
3,LA,1073
6,SG,5507
5,CN,2124
26,DE,4326
2,CM,1080
1,UA,1108
9,DK,4221
