ViewCount,PostId,ViewDate
64,4304,9/26/18
3,1108,6/30/19
3,4214,4/26/19
1,1074,2/12/19
1,1024,12/2/18
8,2118,5/15/18
1,1038,11/3/18
1,3141,10/22/18
5,4214,4/3/19
1,4174,6/11/19
1,4227,12/8/18
5,1041,4/29/18
10,1108,9/7/19
4,4156,5/26/19
1,2120,5/16/19
15,1041,4/6/18
3,1080,4/26/19
1,1038,1/11/19
3,4214,11/8/18
2,1073,9/9/18
1,1081,7/15/18
2,1080,4/3/19
2,1074,12/5/18
3,1073,10/2/18
5,4221,9/3/18
3,1074,7/12/18
12,1073,5/9/18
2,4221,9/26/18
4,1038,4/21/19
2,1108,2/4/19
43,1073,4/16/18
1,3141,9/2/19
3,1073,2/25/19
4,2120,7/5/18
1,4174,6/27/18
4,1080,11/8/18
2,3139,5/8/19
1,2121,5/3/19
1,4227,4/10/19
1,4304,1/4/19
2,2124,5/15/19
2,2134,12/15/18
1,4174,1/16/19
1,2124,9/11/18
14,3139,9/1/18
4,2134,7/22/18
10,1024,3/31/18
1,2118,10/31/18
1,2118,7/7/19
10,1041,8/3/19
4,3139,1/25/19
1,4174,10/8/18
3,4276,9/15/18
6,2134,9/6/18
1,1024,4/27/19
66,2135,11/9/18
2,4227,7/22/19
1,1024,1/17/19
1,2135,6/13/18
59,2135,11/6/18
3,1041,3/10/19
9,2134,9/3/18
309,1024,3/28/18
1,1024,8/8/19
1,4221,1/7/19
2,4276,12/27/18
1,2121,6/22/18
2,3139,6/20/19
1,4276,5/19/19
2,1041,5/26/19
2,1081,3/18/19
3,1080,6/12/18
3,2120,9/9/18
1,4326,1/19/19
3,1041,1/3/19
5,2135,6/16/18
1,4304,10/30/18
1,1073,7/21/19
1,1074,5/3/19
4,4214,7/15/19
1,4326,5/22/19
5,1073,5/16/19
1,2121,12/8/18
4,1108,10/27/18
1,4214,7/31/18
22,1108,5/31/18
1,2121,1/20/19
4,2121,8/4/18
1,3139,6/27/18
4,1073,6/8/19
2,4221,5/30/19
1,2121,4/30/19
1,4326,12/30/18
2,4304,8/18/19
20,5507,7/11/19
5,1108,4/14/19
1,4304,12/12/18
6,1041,2/15/19
2,4214,1/27/19
2,1074,9/16/18
12,1108,9/4/19
1,4326,6/17/19
1,2124,6/10/19
10,1074,4/26/18
3,2121,4/10/19
3,4214,12/21/18
4,2134,6/29/18
4,3141,5/29/18
2,1074,5/23/19
1773,4156,5/22/18
1,1041,9/25/18
5,4276,10/8/18
3,4174,8/19/19
1,4276,6/14/19
2,4156,6/18/19
1,3141,3/17/19
47,2135,1/14/19
1,4221,7/22/18
17,2118,5/18/18
1,3141,7/11/18
7,1080,5/23/18
1,2124,7/23/19
1,3139,2/17/19
3,4174,3/23/19
2,2134,2/19/19
13,2135,4/24/19
1,4227,5/6/19
5,5507,8/23/19
1,4156,7/31/19
13,2135,12/2/18
2,4174,10/31/18
2,2124,2/24/19
1,2118,10/8/18
2,1041,9/19/18
2,4227,8/14/19
4,4156,7/4/18
4,4227,7/18/18
1,4156,6/21/19
5,4221,9/23/18
1,4304,2/16/19
5,1108,2/7/19
4,4214,9/26/18
18,2135,8/8/19
1,1038,11/29/18
1,2121,5/16/18
1,4174,1/19/19
4,1041,5/2/18
3,1073,9/29/18
8,2135,8/18/18
1,1081,7/12/18
3,2134,5/13/19
55,2135,7/16/19
2,2134,6/15/18
3,3141,10/25/18
639,4304,9/23/18
5,1108,7/3/19
5,4326,9/5/19
1,2134,3/28/19
1,4156,1/26/19
2,4227,1/20/19
2,1074,7/15/18
2,4221,8/31/18
3,4174,8/3/18
5,1073,5/12/18
12,1108,7/26/19
1,2121,8/31/19
4,3139,5/11/19
1,4304,8/4/19
9,1041,4/16/19
3,2118,7/10/19
11,1041,7/31/19
2,3139,1/22/19
1,2134,6/22/19
1,4221,1/24/19
1,4214,2/19/19
1,1041,7/4/18
7,1073,7/28/18
1,4156,5/12/19
2,1080,6/8/19
2,4304,4/20/19
2,4221,6/5/19
1,1038,1/31/19
11,1108,3/19/19
4,4174,11/17/18
8,1108,8/22/18
2,4227,8/4/18
4,3139,10/8/18
1,4174,6/24/18
1,4326,8/19/19
3,2121,8/14/19
50,2135,4/1/19
2,1073,2/22/19
1,2134,1/27/19
3,3139,8/29/18
8,1108,6/16/19
1,1080,2/19/19
1,1073,11/8/18
3,2134,8/31/18
2,2118,6/10/18
3,1080,9/26/18
3,4214,6/8/19
1,4156,2/12/19
1,2134,12/12/18
2,4227,11/18/18
1,4304,1/7/19
2,2124,5/28/18
2,1074,5/13/18
2,4276,9/12/18
2,1108,10/24/18
2,4227,10/9/18
1,4304,6/2/19
3,4214,7/18/19
4,2134,1/24/19
1,2118,1/19/19
3,3141,7/8/18
1,2124,11/13/18
1,4221,7/15/19
3,1073,12/21/18
4,1041,12/11/18
3,4304,11/2/18
2,2118,8/19/19
2,2135,6/19/18
1,1038,8/12/18
1,4326,6/14/19
7,1041,5/29/19
1,4276,1/19/19
3,1080,1/10/19
4,1080,11/5/18
4,5507,7/14/19
1,4276,12/30/18
1,1081,5/10/18
1,4221,6/2/19
2,1081,6/2/18
1,2134,3/8/19
1,1074,3/18/19
1,1073,1/13/19
17,1108,9/11/18
2,3139,12/13/18
5,2120,9/6/18
1,3139,11/20/18
50,2135,6/3/19
2,2134,3/31/19
1,2134,7/15/19
1,1024,5/23/19
8,2135,5/7/18
2,4174,12/10/18
1,1038,1/8/19
3,1074,8/14/19
1,1073,6/11/19
2,2124,12/26/18
8,2135,8/21/18
1,4227,8/27/18
4,1074,7/18/18
8,5507,8/26/19
1,4276,11/17/18
1,2121,5/13/18
1,4156,4/19/19
15,1108,4/11/19
1,4304,12/15/18
1,2120,12/21/18
3,1041,2/12/19
1,1074,6/5/18
2,2121,7/22/19
1,1074,7/2/19
2,2121,6/9/19
4,2120,4/6/19
3,1108,12/26/18
2,1073,4/29/19
2,1108,5/24/19
3,4214,12/18/18
1,1081,9/16/18
2,1024,7/29/18
2,4221,11/2/18
1,4326,7/27/19
8,1041,7/11/19
2,4276,3/3/19
1,4174,3/26/19
14,1080,9/3/18
1,4221,3/31/19
2,4156,1/6/19
9,2134,5/20/18
1,2121,10/6/18
18,2135,3/18/19
5,1108,9/17/18
1,3139,3/6/19
1,1041,3/27/19
2,2120,5/26/18
39,1080,4/13/18
2,3139,3/29/19
3,1108,2/10/19
23,2135,10/23/18
1,4276,9/5/19
2,4227,6/12/19
12,2135,1/8/19
8,1041,4/19/19
2,4304,3/31/19
2,2118,11/17/18
3,2134,10/13/18
2,4156,8/13/18
1,4156,9/5/18
2,4276,5/5/19
2,2118,12/10/18
13,2135,2/23/19
1,4174,1/22/19
19,2135,9/30/18
2,2118,5/5/19
1,1024,7/15/18
1,1038,10/17/18
1,1038,6/23/19
6,3139,5/18/18
1,1041,11/24/18
4,2120,6/25/19
2,4174,6/17/19
1,3141,5/19/19
5,1074,5/10/18
14,4214,9/29/18
2,1024,1/11/19
2,2120,10/19/18
1,1024,6/6/19
2,4214,2/22/19
