ViewCount,Referer,PostId
107,1,1024
5,2,1024
71,3,1024
1,4,1024
5708,5,1024
77,1,1038
120,2,1038
56,3,1038
1555,5,1038
80,1,1041
774,2,1041
240,3,1041
2046,5,1041
4024,1,1073
294,2,1073
314,3,1073
1,4,1073
993,5,1073
3873,1,1074
28,2,1074
158,3,1074
638,5,1074
1833,1,1080
390,2,1080
176,3,1080
1,4,1080
877,5,1080
1402,1,1081
2,2,1081
68,3,1081
1,4,1081
418,5,1081
8029,1,1108
1128,2,1108
508,3,1108
35,4,1108
1474,5,1108
5278,1,2118
14,2,2118
307,3,2118
3,4,2118
820,5,2118
2549,1,2120
33,2,2120
126,3,2120
1,4,2120
583,5,2120
2272,1,2121
4,2,2121
52,3,2121
1,4,2121
431,5,2121
1399,1,2124
6,2,2124
79,3,2124
1,4,2124
405,5,2124
7835,1,2134
13,2,2134
151,3,2134
18,4,2134
868,5,2134
748,1,2135
344,2,2135
14666,3,2135
10,4,2135
1039,5,2135
1027,1,3139
187,2,3139
64,3,3139
2,4,3139
1008,5,3139
2199,1,3141
20,2,3141
62,3,3141
1,4,3141
409,5,3141
3367,1,4156
17,2,4156
67,3,4156
574,5,4156
2010,1,4174
11,2,4174
39,3,4174
1,4,4174
563,5,4174
2590,1,4214
34,2,4214
112,3,4214
1,4,4214
1330,5,4214
1696,1,4221
10,2,4221
34,3,4221
542,5,4221
1638,1,4227
21,2,4227
44,3,4227
1,4,4227
617,5,4227
1734,1,4276
53,2,4276
76,3,4276
3,4,4276
446,5,4276
3552,1,4304
15,2,4304
94,3,4304
377,5,4304
2718,1,4326
3,2,4326
67,3,4326
307,5,4326
764,1,5507
295,2,5507
177,3,5507
1,4,5507
467,5,5507
